STEEL_新厂A_DCS_采集时间,STEEL_新厂A_DCS_GAS_FLOW_NM3H,STEEL_新厂A_DCS_助燃风量[Nm3/h],STEEL_新厂A_DCS_ZONE1_TEMP_C,STEEL_新厂A_DCS_二段炉温(℃),STEEL_新厂A_DCS_均热段温度(°F),STEEL_新厂A_DCS_WALKING_BEAM_SPEED,STEEL_新厂A_DCS_入炉温度,STEEL_新厂A_DCS_SLAB_OUT_TEMP_C,STEEL_新厂A_DCS_炉压(kPa),STEEL_新厂A_DCS_O2_PERCENT,STEEL_新厂A_DCS_板坯厚度,STEEL_新厂A_DCS_THROUGHPUT,STEEL_新厂A_DCS_厂商临时标签,BOILER_新厂B_PLC_采集时间,BOILER_新厂B_PLC_UNIT_LOAD,BOILER_新厂B_PLC_总煤量(t/h),BOILER_新厂B_PLC_一次风流量,BOILER_新厂B_PLC_二次风流量,BOILER_新厂B_PLC_锅炉给水,BOILER_新厂B_PLC_主汽压(MPa),BOILER_新厂B_PLC_MAIN_STEAM_TEMP,BOILER_新厂B_PLC_主汽流量,BOILER_新厂B_PLC_炉膛负压(Pa),BOILER_新厂B_PLC_空预器入口氧量[%],BOILER_新厂B_PLC_厂商状态字
2026-01-01 08:00:00,24404.82530298105,43709.03099750731,935.0757504857281,1124.0236249154998,2260.1567096592007,1.2091858304781204,165.13460826428914,1159.8075941255393,0.00788402634938609,2.972710091725126,220,175.02478145359214,1,2026-01-01 00:00:00,617.6206325745263,298.6949199541146,639948.708117961,971918.2435151661,624.2792817581662,24.273486643824963,566.5403824792868,1789.5605874704406,-85.57986825306955,3.1590651375876893,0
2026-01-01 08:01:00,24555.3353260195,43598.489933459496,932.5539151137218,1119.255249758373,2264.9167890161443,1.198762897801111,173.43049108438728,1160.3093082119256,0.008094069320172642,3.0053424635784465,220,170.67690269292578,2,2026-01-01 00:00:30,621.5398505906537,297.42240372638696,629483.8809662043,947106.1448519195,634.6501030716857,24.190103182408887,569.0291473253162,1803.7093117280108,-84.52965339913679,3.20801369536767,2
2026-01-01 08:02:00,24325.351488556847,43135.56332049435,932.4963187266724,1119.3705996181272,2265.764499078992,1.2072158480423771,167.2530992869038,1161.5534170632375,0.009269917697368638,3.060294363892373,220,171.24682255990209,1,2026-01-01 00:01:00,615.9470239803046,294.2915521010725,621277.9904137623,935882.9962850604,629.5227605824217,24.257726784339017,567.1759297860712,1796.2125559772946,-78.65041151315681,3.2904415458385596,1
2026-01-01 08:03:00,24746.80136707608,44298.6623050501,929.5394000246874,1121.7846148541298,2267.6993405089306,1.1834532774574857,167.13829658615668,1161.8334771100779,0.007651433376078662,3.0650767282215687,220,169.66830898518015,2,2026-01-01 00:01:30,626.6406436359418,302.8654745423744,630405.50607945,971311.232524727,642.6186069468624,24.067626219659886,567.141488975847,1828.234686471404,-86.74283311960669,3.2976150923323537,3
2026-01-01 08:04:00,24682.23364087886,44107.24788601026,930.1366371640771,1123.7269735206476,2262.7249532643264,1.1973720497062952,177.90180776161608,1161.262604157923,0.009570864498958286,2.9655726924351127,220,173.15857592625892,0,2026-01-01 00:02:00,625.1847272095685,301.5292691043086,627609.6713051937,973142.6019203523,633.0867050007625,24.17897639765036,570.3705423284848,1818.2165719272364,-77.14567750520857,3.148359038652669,0
2026-01-01 08:05:00,24596.83070784475,44116.04941408028,934.3696116176066,1120.8774747085317,2267.31595861611,1.2025165658400738,170.27575710254206,1162.0170739865973,0.008769879145960623,2.9868429058635275,220,169.64162046743294,1,2026-01-01 00:02:30,623.2091341022411,301.9211406533809,637535.5105969623,961339.2778264545,637.1965815897477,24.22013252672059,568.0827271307626,1817.295301721966,-81.1506042701969,3.1802643587952915,3
2026-01-01 08:06:00,24620.56654907932,43875.557956035955,933.40802786737,1121.29436008397,2266.4049853074257,1.199895768059637,169.82208190116344,1162.6514083870284,0.005885742292594179,2.931245673071251,220,170.87616025252873,0,2026-01-01 00:03:00,623.9635116770003,299.9270647605831,629468.6725536332,954970.0688989288,635.9410691652756,24.199166144477093,567.9466245703491,1823.331318135738,-95.5712885370291,3.0968685096068764,3
2026-01-01 08:07:00,24720.448106233285,44392.0527777922,931.4862819630277,1123.9145575765338,2271.210983635773,1.2204994889666627,169.08157707040277,1161.4452630062463,0.006964424043443045,2.8830800935692817,220,167.79655617991153,0,2026-01-01 00:03:30,626.6233292901676,304.0263242984217,631802.4776409164,976917.1106451645,645.1000368406341,24.3639959117333,567.7244731211208,1820.1710177336442,-90.17787978278477,3.024620140353923,3
2026-01-01 08:08:00,24677.69687189581,43858.60116950625,934.4851139220239,1120.4666936548565,2265.647112155832,1.2031053290719942,171.6613613634289,1159.8293617759132,0.008586547877298026,3.076075150631763,220,164.5964696664995,2,2026-01-01 00:04:00,625.7194176514822,299.7811599521424,628920.3147913963,947894.7958508085,635.2627970612507,24.224842632575953,568.4984084090287,1803.3998908696594,-82.06726061350987,3.314112725947645,0
2026-01-01 08:09:00,24708.35380214124,43726.39077033164,936.0362539696118,1122.1828947038234,2265.108202274884,1.2036646098053012,167.16869134705775,1162.3854747916407,0.006544665801391212,2.9122197658281794,220,174.36784430828718,2,2026-01-01 00:04:30,626.6530912404551,298.6728254830871,629012.9725851886,949572.3566201904,634.7460705370789,24.229316878442408,567.1506074041173,1825.3361996600058,-92.27667099304395,3.068329648742269,1
2026-01-01 08:10:00,24847.31408828546,43739.317669744174,937.7681545461113,1122.4601209245582,2269.9072127667073,1.1867200748694333,170.22926687207797,1160.537483214343,0.008476182551050737,2.9411759723582978,220,171.98547382826405,0,2026-01-01 00:05:00,630.2970172057304,298.46838986371773,631463.2532810662,948392.9664982377,644.9038420966805,24.093760598955466,568.0687800616234,1819.902016933637,-82.61908724474631,3.111763958537447,1
2026-01-01 08:11:00,24847.88797806179,43964.904291329796,936.2576618560341,1123.6746525752121,2266.6957741968763,1.1981251246511437,174.34680935670872,1163.5460958809745,0.009382615560175939,3.0303523353096815,220,171.68830107987122,1,2026-01-01 00:05:30,630.4842355030991,300.4296304613193,630363.8269066405,957900.1433124518,639.6706714144069,24.18500099720915,569.3040428070126,1843.299117450029,-78.08692219912031,3.2455285029645227,3
2026-01-01 08:12:00,24803.39791086806,44346.489122806146,936.5076368326285,1124.6635463852087,2265.9600598270035,1.192164780468461,168.71744220939604,1163.5607301928012,0.007731838727209973,2.892184705090704,220,168.02754333546423,0,2026-01-01 00:06:00,629.5480868888328,303.82008871881465,636676.1001334438,971086.1527006805,636.9618578671893,24.137318243747686,567.6152326628188,1839.4898161178032,-86.34080636395014,3.0382770576360563,3
