新厂A_DCS_采集时间,新厂A_DCS_GAS_FLOW_NM3H,新厂A_DCS_助燃风量[Nm3/h],新厂A_DCS_ZONE1_TEMP_C,新厂A_DCS_二段炉温(℃),新厂A_DCS_均热段温度(°F),新厂A_DCS_WALKING_BEAM_SPEED,新厂A_DCS_入炉温度,新厂A_DCS_SLAB_OUT_TEMP_C,新厂A_DCS_炉压(kPa),新厂A_DCS_O2_PERCENT,新厂A_DCS_板坯厚度,新厂A_DCS_THROUGHPUT,新厂A_DCS_厂商临时标签
2026-01-01 08:00:00,24404.82530298105,43709.03099750731,935.0757504857281,1124.0236249154998,2260.1567096592007,1.2091858304781204,165.13460826428914,1159.8075941255393,0.00788402634938609,2.972710091725126,220,175.02478145359214,1
2026-01-01 08:01:00,24555.3353260195,43598.489933459496,932.5539151137218,1119.255249758373,2264.9167890161443,1.198762897801111,173.43049108438728,1160.3093082119256,0.008094069320172642,3.0053424635784465,220,170.67690269292578,2
2026-01-01 08:02:00,24325.351488556847,43135.56332049435,932.4963187266724,1119.3705996181272,2265.764499078992,1.2072158480423771,167.2530992869038,1161.5534170632375,0.009269917697368638,3.060294363892373,220,171.24682255990209,1
2026-01-01 08:03:00,24746.80136707608,44298.6623050501,929.5394000246874,1121.7846148541298,2267.6993405089306,1.1834532774574857,167.13829658615668,1161.8334771100779,0.007651433376078662,3.0650767282215687,220,169.66830898518015,2
2026-01-01 08:04:00,24682.23364087886,44107.24788601026,930.1366371640771,1123.7269735206476,2262.7249532643264,1.1973720497062952,177.90180776161608,1161.262604157923,0.009570864498958286,2.9655726924351127,220,173.15857592625892,0
2026-01-01 08:05:00,24596.83070784475,44116.04941408028,934.3696116176066,1120.8774747085317,2267.31595861611,1.2025165658400738,170.27575710254206,1162.0170739865973,0.008769879145960623,2.9868429058635275,220,169.64162046743294,1
2026-01-01 08:06:00,24620.56654907932,43875.557956035955,933.40802786737,1121.29436008397,2266.4049853074257,1.199895768059637,169.82208190116344,1162.6514083870284,0.005885742292594179,2.931245673071251,220,170.87616025252873,0
2026-01-01 08:07:00,24720.448106233285,44392.0527777922,931.4862819630277,1123.9145575765338,2271.210983635773,1.2204994889666627,169.08157707040277,1161.4452630062463,0.006964424043443045,2.8830800935692817,220,167.79655617991153,0
2026-01-01 08:08:00,24677.69687189581,43858.60116950625,934.4851139220239,1120.4666936548565,2265.647112155832,1.2031053290719942,171.6613613634289,1159.8293617759132,0.008586547877298026,3.076075150631763,220,164.5964696664995,2
2026-01-01 08:09:00,24708.35380214124,43726.39077033164,936.0362539696118,1122.1828947038234,2265.108202274884,1.2036646098053012,167.16869134705775,1162.3854747916407,0.006544665801391212,2.9122197658281794,220,174.36784430828718,2
