date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
01/01/2026 00:00,21.48426215765162,10.175244439842109,1.9140452462464965,0.009667917970943228,92.35620429779172,97.35472676265152,0,Weekday,Monday,Medium_Load
01/01/2026 00:15,25.093402225678496,10.997563391808795,2.1269541981869056,0.011292031001555323,93.3839582310646,96.78676546081222,900,Weekday,Monday,Medium_Load
01/01/2026 00:30,24.54783505085685,11.349847921595677,1.7877856363567177,0.011046525772885582,93.5800670453973,98.16270956577065,1800,Weekday,Monday,Medium_Load
01/01/2026 00:45,25.42210877690982,10.815531778077254,2.262881148857129,0.011439948949609419,93.633103358562,96.52592702283175,2700,Weekday,Monday,Medium_Load
01/01/2026 01:00,24.21573117082781,10.765272068322787,1.8004653836985276,0.010897079026872513,91.96384676445872,99.08276393442122,3600,Weekday,Monday,Medium_Load
01/01/2026 01:15,25.06054830612101,11.520626108270879,1.9963064259821648,0.011277246737754454,91.96996169601114,100.0,4500,Weekday,Monday,Medium_Load
01/01/2026 01:30,26.22019849710961,10.531474086135557,1.9652278117067932,0.011799089323699325,92.9870610402739,97.28809988849595,5400,Weekday,Monday,Medium_Load
01/01/2026 01:45,25.98173598468023,11.372057725999923,2.0003332309581827,0.011691781193106104,89.83856362188133,98.28136868819469,6300,Weekday,Monday,Medium_Load
01/01/2026 02:00,28.280927521406838,13.429160944840888,2.3470092669848084,0.012726417384633077,92.55744970478554,100.0,7200,Weekday,Monday,Medium_Load
01/01/2026 02:15,27.05988317317701,11.70465039959326,2.0921367282830463,0.012176947427929654,93.73192167901928,95.92341398985836,8100,Weekday,Monday,Medium_Load
01/01/2026 02:30,26.74997834307546,12.235510519607287,1.9892945863797828,0.012037490254383956,92.6605671711981,97.11688317745744,9000,Weekday,Monday,Medium_Load
01/01/2026 02:45,25.50121109472186,11.574791187243763,1.9321937525576052,0.011475544992624837,91.86712938033305,97.26739620138564,9900,Weekday,Monday,Medium_Load
01/01/2026 03:00,26.359796148031066,12.362547249495956,2.1279059549600636,0.01186190826661398,93.32547142293501,97.23624046808263,10800,Weekday,Monday,Medium_Load
01/01/2026 03:15,27.196179454066723,12.429591489134216,2.077916141430264,0.012238280754330024,93.13095855399412,98.26574987965311,11700,Weekday,Monday,Medium_Load
01/01/2026 03:30,27.898755563424118,12.96569227259934,2.0111433907725162,0.012554440003540853,92.51429177943282,97.53944639674253,12600,Weekday,Monday,Medium_Load
01/01/2026 03:45,26.792450536590117,11.890749667653049,2.4345838040254435,0.012056602741465552,94.03107753100889,97.64662426297612,13500,Weekday,Monday,Medium_Load
01/01/2026 04:00,28.011783397453414,12.377941722455136,2.237542715625606,0.012605302528854036,90.11531016658256,98.9242830558443,14400,Weekday,Monday,Medium_Load
01/01/2026 04:15,29.749951961695615,13.231689754920472,2.4485863343862757,0.013387478382763026,92.46904301355944,98.32062612072941,15300,Weekday,Monday,Medium_Load
01/01/2026 04:30,28.22959039492112,12.957992574414085,1.9075642503502697,0.012703315677714504,93.14465615205039,99.806339134585,16200,Weekday,Monday,Medium_Load
01/01/2026 04:45,27.582817159315237,11.862839366589903,2.4631074687853185,0.012412267721691857,89.91641580678426,98.33530453916096,17100,Weekday,Monday,Medium_Load
01/01/2026 05:00,27.963452419964963,12.674298850109322,2.0531998185336464,0.012583553588984232,91.63195201585116,98.06009609815928,18000,Weekday,Monday,Medium_Load
01/01/2026 05:15,30.87260814011686,13.832388839193623,2.4203807560770025,0.013892673663052586,92.35965473737875,98.88192607410159,18900,Weekday,Monday,Medium_Load
01/01/2026 05:30,31.79620081079623,14.42280486702438,2.782194644435982,0.014308290364858303,91.63043053697625,99.56254299357569,19800,Weekday,Monday,Medium_Load
01/01/2026 05:45,28.43022601760798,12.378477824850608,2.4596418069140036,0.01279360170792359,91.53789976194203,98.32922059314664,20700,Weekday,Monday,Medium_Load
01/01/2026 06:00,31.430872134691153,12.969265239531627,2.5901192669579958,0.014143892460611018,94.07989684066989,98.37689393717953,21600,Weekday,Monday,Medium_Load
01/01/2026 06:15,30.060937329607917,14.19324431952305,2.263934140090157,0.013527421798323563,92.5957389168891,99.18785764021851,22500,Weekday,Monday,Medium_Load
01/01/2026 06:30,29.909861559612406,13.61724275545183,2.1303883798093466,0.013459437701825581,93.29643850880576,97.8006274213845,23400,Weekday,Monday,Medium_Load
01/01/2026 06:45,30.262200456910133,14.081912739383435,2.30505079003516,0.013617990205609559,92.2631761190003,97.90713367968179,24300,Weekday,Monday,Medium_Load
01/01/2026 07:00,29.66585221915227,12.456216564326224,2.4822473464097103,0.013349633498618521,92.8438239265655,97.17742991248586,25200,Weekday,Monday,Medium_Load
01/01/2026 07:15,32.133110489007386,14.446502381020377,2.79413764293441,0.014459899720053323,95.24920319265432,98.00331767472684,26100,Weekday,Monday,Medium_Load
01/01/2026 07:30,33.2154187249654,14.671871541283004,2.7242519936405785,0.014946938426234431,90.94660049666543,98.2992743682961,27000,Weekday,Monday,Medium_Load
01/01/2026 07:45,31.916347178310073,14.21501988138029,2.3584562008100636,0.014362356230239532,91.62111784295224,97.19115803844072,27900,Weekday,Monday,Medium_Load
01/01/2026 08:00,29.23781787287356,13.05339701656325,2.2503970357747956,0.013157018042793102,92.36828879286138,97.9447183036904,28800,Weekday,Monday,Medium_Load
01/01/2026 08:15,32.28416658046071,15.023344900301522,2.8945507409692284,0.01452787496120732,90.81691425747894,97.50053705971469,29700,Weekday,Monday,Medium_Load
01/01/2026 08:30,31.625436129885436,13.144913511562157,2.451302336758825,0.014231446258448447,92.55426031680022,97.09903681971193,30600,Weekday,Monday,Medium_Load
01/01/2026 08:45,32.17393553160853,14.42201901110597,2.7271251663809126,0.014478270989223838,96.09424572329094,98.34351260811135,31500,Weekday,Monday,Medium_Load
01/01/2026 09:00,32.2663242048986,15.019257265085855,2.565855706281608,0.014519845892204371,89.99503377800619,98.85912933354606,32400,Weekday,Monday,Medium_Load
01/01/2026 09:15,32.33804918568915,14.991623154549442,2.619844008053416,0.014552122133560117,94.59401046241513,98.02178695712735,33300,Weekday,Monday,Medium_Load
01/01/2026 09:30,30.752471719017006,12.709774370664302,2.5538637376543996,0.013838612273557652,91.56935908627946,97.59339957759023,34200,Weekday,Monday,Medium_Load
01/01/2026 09:45,32.31549596167982,14.01972677581832,2.5905938072654027,0.01454197318275592,91.59187728746325,99.93246150414761,35100,Weekday,Monday,Medium_Load
01/01/2026 10:00,31.981913554040677,13.807602322872215,2.781219583804442,0.014391861099318304,88.91743780616062,98.46843210610388,36000,Weekday,Monday,Medium_Load
