采集时间,UNIT_LOAD,总煤量(t/h),一次风流量,二次风流量,锅炉给水,主汽压(MPa),MAIN_STEAM_TEMP,主汽流量,炉膛负压(Pa),空预器入口氧量[%],厂商状态字
2026-01-01 00:00:00,613.710655394129,296.61042046477746,629392.0254305116,950578.1626784548,623.4037755526177,24.129244871641795,569.1026792389218,1775.3993582391086,-84.60248919175882,3.1236460348448354,3
2026-01-01 00:00:30,622.8572871624724,297.7936273990006,629349.3515423221,958475.4406010604,630.4614947489707,24.07085824033461,566.8714022153778,1806.93359718035,-80.74258479173173,3.133268863112453,2
2026-01-01 00:01:00,621.6174161061257,299.5896483257807,623270.2225604117,965007.1428240873,634.7006026913308,24.166058766685886,569.4245747604065,1806.339661865255,-94.8262178954767,3.233330143719087,2
2026-01-01 00:01:30,623.9276775428825,296.98761653445496,631311.0762791669,956892.7863445039,630.5099391850672,24.223378105179986,568.5110074620651,1816.900300123055,-85.0756912362351,3.2318356145035128,0
2026-01-01 00:02:00,621.0371052011045,297.5705826623312,620338.453258639,952081.2515772948,637.7889030428115,24.229612111410198,568.0672080447671,1793.675379833504,-98.50329779942359,3.1777519466144923,1
2026-01-01 00:02:30,623.2755776047738,300.1457947323571,630021.587654366,960346.3899275872,646.1154849972314,24.07542830627612,569.079063442652,1806.456007020039,-84.68126482447386,3.076595513247049,2
2026-01-01 00:03:00,626.3024525870094,295.5547162915094,616251.9686101038,949723.3362939256,635.9809011927333,24.292738799595902,569.7337450605648,1819.4161646937487,-90.03230242853395,3.0747655044588207,3
2026-01-01 00:03:30,625.8356261834034,299.12220669960885,625549.7791419708,948545.3159262737,639.4778134598502,24.150045499208925,567.9174058076071,1810.2034643844327,-80.80893246990772,3.2410027249252793,1
2026-01-01 00:04:00,631.7147737752092,306.03406565293164,645489.3733802318,981538.8089085234,652.6288920634,24.162681853979485,568.6157810186153,1827.1378389172294,-80.86221116070631,3.28270386819518,2
2026-01-01 00:04:30,628.7954267755241,299.93261673890595,627436.6976326654,966712.0602805762,633.0649912704681,24.084604355456477,568.3962359766389,1826.300214405719,-87.57850555300297,2.9535119409567177,3
2026-01-01 00:05:00,628.1562773731235,302.3070941999926,629821.4417844426,970024.9701247687,637.1869356304159,24.16173610379618,568.5504429760912,1832.190854315834,-91.97802250060052,3.1804967110659192,1
2026-01-01 00:05:30,625.1725715272296,300.4798191115459,627410.8489669083,961003.9386782792,634.7456077633167,24.281771148933082,568.2214281707226,1797.1171839132196,-72.196913092627,2.979520990723626,2
2026-01-01 00:06:00,627.4600936459092,303.1834008815643,637322.5506218709,975488.7685127459,636.9542573911579,24.09027693020399,565.8761943314926,1811.4542106935942,-81.24075927031714,3.25367612464021,0
2026-01-01 00:06:30,629.6952027150621,303.01894024244655,633080.5006793019,974184.4429918055,643.3521062879757,24.208209913325714,567.2961992675413,1819.0251333565432,-81.59170218096722,3.3905724805646344,2
2026-01-01 00:07:00,631.5991254143627,304.81258927512806,632747.8690010553,977457.452798141,642.3888935096201,24.36630489565372,566.2491444114999,1817.3786728789007,-87.05869498743527,3.1816723622849374,3
2026-01-01 00:07:30,628.9844130915491,301.24910598869354,642329.3812795308,972121.449287855,640.1505984052844,24.222224529303862,568.8864635129021,1814.2632226199596,-89.47363334706063,3.2254526802171695,1
2026-01-01 00:08:00,632.187595098266,302.54060242157203,635221.9332129457,960591.1684153607,648.5284792236084,24.256885525948608,567.9590334435834,1828.4292147303063,-84.93215115493723,3.378275366147522,2
2026-01-01 00:08:30,636.6918930670521,304.9889541608148,642763.1429860652,977840.825368845,650.7082354113107,24.269111893686006,569.5073233642851,1832.8277064881372,-82.58623066261785,3.2075368077277235,0
2026-01-01 00:09:00,633.0541145168852,304.8846825549032,628564.4006571827,980209.6087838918,652.940553345563,24.385056689208312,569.3071624298234,1838.0891275545243,-71.62953882779993,3.121280564631176,1
2026-01-01 00:09:30,631.6047724345179,300.97257734816077,640591.8156324743,954777.9107412515,645.5780860398521,24.11531003614569,569.2515101633421,1830.2170914270932,-87.46064130863628,3.3612904845675486,0
2026-01-01 00:10:00,632.7286285096998,304.0727227291562,632423.5052291098,971560.5207967046,645.6235854725309,24.08006532638244,569.0026219204501,1831.2739494444481,-86.74422351955774,3.104403946486492,1
2026-01-01 00:10:30,640.1786680977225,307.0446213914709,643146.1084176773,983981.4074022218,656.5099457560833,24.31598947874325,569.2293724406636,1856.9502586992028,-87.39831410425963,3.1020289426957377,2
2026-01-01 00:11:00,642.6698817731033,308.93960125975383,656723.1152978925,987128.4461791173,661.7734513828682,24.352498923323434,567.7389751097571,1862.2811197053,-87.98281350554439,3.144183129973504,0
2026-01-01 00:11:30,634.4424514816983,302.8718811789233,642205.074659251,967341.6188203227,648.4481828839189,24.239638168722458,567.04216108024,1833.7075754468647,-76.97810281564918,3.3662085795128216,0
2026-01-01 00:12:00,642.137034516421,303.5272676835645,639928.9120082422,979606.8439500859,656.4873509554675,24.225088300423806,568.1501049110208,1855.5379988560499,-82.65959837860458,3.0740666740212856,2
2026-01-01 00:12:30,638.9108057762503,309.3404768573981,644916.9731912534,992272.4816112302,656.4404524526493,24.268528990078018,567.899852665023,1844.3704135591997,-80.62624272377525,3.2153302361181906,1
2026-01-01 00:13:00,638.7375375098773,307.2252382192461,636426.3154284286,988306.5163368105,650.7147979456128,24.22048624753476,566.8565868013256,1862.2067597044233,-88.84721408545781,3.0594554500612876,1
2026-01-01 00:13:30,639.82878378824,308.9735063534507,644980.1884583249,989767.9248070435,652.2538941827319,24.366431036700515,568.7146070964277,1858.706611996642,-82.44873907656785,3.5637296358620865,2
2026-01-01 00:14:00,638.5544474967818,302.93246706128605,639790.819791285,972759.1903023773,648.035256096661,24.21500152972089,568.3135751988018,1855.8656904703344,-84.57614036848132,3.4061824617674916,0
2026-01-01 00:14:30,644.9454123072522,309.52020855134924,657442.0647516274,1003461.4801349349,657.8575912523047,24.238206922878522,567.6688794255342,1862.9569387727481,-83.18406800786472,3.0979204571745385,2
