采集时间,GAS_FLOW_NM3H,助燃风量[Nm3/h],ZONE1_TEMP_C,二段炉温(℃),均热段温度(°F),WALKING_BEAM_SPEED,入炉温度,SLAB_OUT_TEMP_C,炉压(kPa),O2_PERCENT,板坯厚度,THROUGHPUT,厂商临时标签
2026-01-01 08:00:00,24248.42621576516,43405.715369133446,932.6040569817916,1120.3562042977917,2262.257762259159,1.1911556089552244,173.6755974630728,1159.4548071995168,0.008079502161648235,2.9490973565632235,220,171.0689883682517,2
2026-01-01 08:01:00,24608.032788892247,43660.95391154986,932.1882754591735,1121.8005947575673,2261.1824233186144,1.1838572800418263,166.23800738459244,1160.2347731361835,0.008851483041653655,2.9555125754083016,220,168.44688446415003,0
2026-01-01 08:02:00,24552.16717358969,43848.45220037049,928.8428107565774,1122.4131592731176,2265.3554775238777,1.1957573458357358,174.74858253468832,1160.7637881536225,0.006034756420904659,3.0222200958127248,220,167.81358202004918,2
2026-01-01 08:03:00,24638.28272335371,43556.423005234166,934.8390288312265,1122.8822897154096,2261.3938669247905,1.202922263147498,171.7033582068838,1161.4001290252681,0.00798486175275298,3.021223743002342,220,170.71422784089484,0
2026-01-01 08:04:00,24516.328760540306,43575.797853657874,930.5534465567163,1121.6285850884651,2268.7545746955366,1.2037015139262748,170.22402681589045,1159.6984681242748,0.005299340440115281,2.9851679644096616,220,169.95443100465897,0
2026-01-01 08:05:00,24599.48844794606,43903.91153519187,932.8553330142281,1122.0495294706338,2273.290472064668,1.184428538284515,173.5968781421735,1160.6380763791885,0.008063747035105229,2.9177303421646994,220,167.89217429230627,0
2026-01-01 08:06:00,24714.124185479686,43382.68573612323,931.7941190039802,1123.4805557079783,2264.8215111094187,1.2115923499494878,175.77915020188297,1161.3141481269015,0.00699353951429321,2.9165103363058806,220,169.22306968734742,1
2026-01-01 08:07:00,24688.939981962718,43792.845903682675,933.1046613464522,1120.7449029758614,2267.9583164427513,1.193755687401116,169.72468602535704,1160.4848612137969,0.008838213506018457,3.0273351499501864,220,171.14697939743044,2
2026-01-01 08:08:00,24917.51111684489,44690.48669688365,935.860296568895,1123.8753723586537,2273.241423591097,1.1953352317474355,172.0526033953842,1160.6232886870082,0.00882755776785874,3.05513591213012,220,171.13468336165656,0
2026-01-01 08:09:00,24794.047223544003,43906.701484306854,934.3475193337148,1125.4599876142647,2262.498475754027,1.18557554443206,171.32078658879607,1161.7293800033922,0.007484298889399408,2.8356746273044786,220,170.45588800403277,0
2026-01-01 08:10:00,24761.684494981186,44170.848128373706,933.886918304991,1124.797158362171,2266.1722002767287,1.1952170129745228,171.83480992030385,1162.8496060764376,0.006604395499879897,2.9869978073772794,220,167.81541261478134,1
2026-01-01 08:11:00,24635.42141902701,43898.68829928517,935.0343122139508,1124.4104504964878,2267.0284368797766,1.210221393616635,170.73809390240862,1159.6988323801259,0.0105606173814746,2.853013993815751,220,172.9473599342211,1
