APC_05_DATETIME_AI_18,B线#进水量#测点45,PLC_06_进水化学需氧量_RAW_86,装置6-进水NH3_N-CH62-VALUE,装置3-aeration_air_flow-CH77-AI,SIS.54.风机频率.PV,B线#DO#测点90,装置4-mlss-CH19-MEAS,APC_06_酸碱度_VALUE_99,SIS.70.池温.VALUE,RTU_06_EFFLUENT_COD_AI_45,SIS.42.出水NH3_N.VALUE,SIS.26.污泥回流量.PV,班组备注,SIS_网络心跳_48,值班员电子签名
2026-01-01 00:00:00,4163.220894982263,308.8712928312945,37.33326938849818,18326.975790979675,41.585661064203286,1.9520263552818466,3526.0969649703707,7.206470611413454,24.162692821975696,34.82585101214443,3.2902523591818884,1824.1334609095702,A班,1,operator_test
2026-01-01 00:05:00,4235.795809410237,320.09154993105454,33.388387763169966,18582.150472992045,43.32428948184551,1.9904624398717838,3627.6756214675474,7.205429629023747,23.774431434306493,34.52267347381431,2.3701961487383665,1803.2710636703516,A班,1,operator_test
2026-01-01 00:10:00,4196.219648656117,313.28052381969275,40.42029630112184,18433.87770486726,41.86431287226995,1.9915596385617853,3649.440093183107,7.207533127680724,23.892267302307218,29.94991343244929,2.998665483982555,1812.4188079945825,A班,1,operator_test
2026-01-01 00:15:00,4166.487894780704,288.4939328418856,39.73793472484262,18431.15868511413,42.70273874934513,2.377694768999686,3771.861961830775,7.184081220945501,24.01351829321069,29.220793403331278,2.8410447830920607,1817.6021090946447,A班,1,operator_test
2026-01-01 00:20:00,4277.690142825057,295.31625764487393,37.63910791309599,18451.072042187003,42.830439941503045,2.2026773407192115,3631.3451781650892,7.25353322825889,23.716401558419797,31.094352432980013,2.464140303962715,1762.9173557697072,A班,1,operator_test
2026-01-01 00:25:00,4212.229610767773,310.02366990863493,39.475621966229475,18393.010767206695,44.48385001804842,2.1093381321639155,3625.302407062973,7.130928049556125,23.889716523582436,31.529137875281556,2.967498536625484,1768.7012675530677,A班,1,operator_test
2026-01-01 00:30:00,4233.606905444783,299.74994665357974,39.786754450237794,18459.185652391945,42.78454615660668,1.8707019162539122,3651.993228779922,7.15316419470971,23.782792710176714,30.671147849914774,3.187194326322452,1816.2542987733405,A班,1,operator_test
2026-01-01 00:35:00,4195.758027859797,336.8221198340489,39.33708901357895,18471.803549105858,42.34124346256054,2.2139400731106815,3506.266505051204,7.177767105219958,23.808330439254732,31.03416270690566,2.87598741057394,1818.7653480943281,A班,1,operator_test
2026-01-01 00:40:00,4185.187771126146,301.4947116641899,40.67164429829938,18547.163023667068,42.82345524062134,2.165532437352357,3555.855752768167,7.205090326399115,23.61899303332491,29.11679362772534,2.5635727246348745,1826.8019938941795,A班,1,operator_test
2026-01-01 00:45:00,4219.487789303373,299.9432307356234,37.99365753433378,18574.68330604334,42.790503432829894,2.1797468869166283,3658.702424978549,7.160350109246095,24.00435874039457,29.272918366996095,2.897728102360441,1838.6066969163096,A班,1,operator_test
2026-01-01 00:50:00,4185.1015680259925,309.32744004577523,37.745688049371616,18390.773184791833,43.52353937601951,2.1859402324461668,3482.4440669021888,7.115611848308598,23.97853729917316,29.113255849094255,2.7102676620692696,1800.606838941129,A班,1,operator_test
2026-01-01 00:55:00,4227.97090969886,301.77247578687513,36.076609451067036,18132.204932365057,41.708805735225006,1.9785819042375363,3514.9846850142967,7.142481427113117,24.030175275450986,31.95048181749679,2.691977746873279,1806.8528486268528,A班,1,operator_test
2026-01-01 01:00:00,4249.692132372308,307.91338361856685,40.41700731189068,18317.955307344564,41.85103152427761,2.087681521205509,3736.2007353175627,7.217444803997109,24.300984944068524,29.852320893429905,2.6847645446635133,1760.9979855245958,A班,1,operator_test
2026-01-01 01:05:00,4281.24047245142,313.1878340661195,38.31598526355812,18610.563314576073,41.32680366380548,2.086068017795849,3618.9166867386557,7.211124228171288,23.981404015532263,30.011044563589188,3.039717274656082,1755.7090949899723,A班,1,operator_test
2026-01-01 01:10:00,4264.645286515654,309.6886279225837,36.8914336487342,18461.28316416065,43.75556604466074,2.2055843156541224,3602.6964181485823,7.203967870829617,23.919157361967983,33.28375430100317,3.1503928412716764,1824.8629320101536,A班,1,operator_test
2026-01-01 01:15:00,4261.126115869609,309.4823522362465,35.72305913674215,18553.100963513167,43.57367763970693,2.07017075565985,3645.167717562005,7.164286017707409,24.22921058335183,32.533209464127296,2.5025982730909755,1728.1956296900814,A班,1,operator_test
