采集时间,厂内煤气总管瞬时量[Nm3/h],助燃风量[Nm3/h],ZONE1_TEMP_C,二段炉温(℃),均热段温度(°F),WALKING_BEAM_SPEED,入炉温度,SLAB_OUT_TEMP_C,炉压(kPa),O2_PERCENT,板坯厚度,THROUGHPUT,厂商临时标签,炉号,质量码
2026-01-01 08:00:00,24248.42621576516,43315.007776117614,927.2343405841733,1118.2311217910449,2260.559421477209,1.19898913687558,172.1379767365034,1161.3353793884783,0.005214930350286039,2.9695188654448352,220,175.43684584322332,0,H2026072201,0
2026-01-01 08:01:00,24608.032788892247,43651.60339183699,931.0838643263625,1117.188092534868,2263.772656640853,1.19479140933956,166.8937689283001,1159.7238886836972,0.0068041998448668045,3.03591733432251,220,169.67001176220123,2,H2026072201,1
2026-01-01 08:02:00,24552.16717358969,43549.85635623431,933.8386968201133,1119.9845613948673,2266.005771937582,1.1995284415993892,165.6271640400984,1159.43091490521,0.00875349035837856,3.047764642020672,220,172.97521718116997,2,H2026072201,1
2026-01-01 08:03:00,24638.28272335371,43366.28617562704,932.1261946562687,1121.833638986347,2266.5105415828557,1.2045420871505133,171.42845568178967,1160.208551173455,0.008706102100719476,3.0124003454744743,220,166.81783463192417,0,H2026072201,1
2026-01-01 08:04:00,24516.328760540306,43772.63124452805,933.3604946445997,1122.4050411092612,2261.1842076852727,1.1872236872089452,169.90886200931794,1160.1359328096019,0.00892964797539519,2.9944557608635716,220,172.4423931827909,2,H2026072201,1
2026-01-01 08:05:00,24599.48844794606,44287.076264281844,930.727906645269,1118.9652754315257,2268.325563936971,1.1904351688946573,165.7843485846125,1161.1530875002593,0.009176106519628859,2.952781508443484,220,168.57545843312218,2,H2026072201,1
2026-01-01 08:06:00,24714.124185479686,44211.83046998141,931.5352947961608,1124.811964657602,2270.095227299299,1.2059092406828393,168.44613937469484,1162.3215493685504,0.007631313930855792,2.890187025210351,220,172.14814164074542,1,H2026072201,1
2026-01-01 08:07:00,24688.939981962718,43780.17638577075,934.5364713726224,1121.6574768342032,2268.2774521465994,1.1921052716237044,172.29395879486088,1159.9146617948927,0.008203895966305242,2.918709592756372,220,169.374675306351,0,H2026072201,1
2026-01-01 08:08:00,24917.51111684489,44771.13984276767,937.551561596984,1122.3849690033553,2271.8624037378418,1.19576032322736,172.2693667233131,1159.14124685968,0.00821080326376604,2.912036852320226,220,167.5646790861123,1,H2026072201,1
2026-01-01 08:09:00,24794.047223544003,44374.65659584867,932.7439061834573,1120.8431748216574,2265.417920183613,1.2197509357382041,170.91177600806557,1160.6658529556694,0.007466821571091293,2.928185426070655,220,172.22922715651924,1,H2026072201,1
2026-01-01 08:10:00,24761.684494981186,44372.8932819793,938.1760982597344,1123.1799937858775,2267.399919771805,1.204974794710388,165.63082522956267,1162.0454530200288,0.006621601858195341,3.1003505307786394,220,169.22675722643683,0,H2026072201,1
2026-01-01 08:11:00,24635.42141902701,43595.057110139445,937.0310513657184,1126.5875998394818,2266.625178432158,1.195804478662201,175.8947198684422,1160.8084444406002,0.007469644860528878,2.9768584600718477,220,174.09729335646165,0,H2026072201,1
2026-01-01 08:12:00,24719.878181151118,43897.410875819754,944.831174480322,1122.2050024401901,2270.0021095980546,1.2041896823607483,169.50175292940295,1162.1473731920134,0.00966439484376602,3.0228337758641057,220,170.30241397254463,1,H2026072201,1
2026-01-01 08:13:00,24802.09812493826,44134.10377611515,934.2699887246074,1125.5559375610314,2266.4166026784046,1.1975883766109117,167.53727437637585,1162.1504355419272,0.007941624384025027,2.970228547856515,220,169.6955438508955,2,H2026072201,1
2026-01-01 08:14:00,24870.919491910256,44291.18844578762,935.1806628871359,1129.9086003980535,2274.7962924426897,1.1902886773842924,169.531451745978,1163.468038806685,0.006559859490317204,3.0398924529593403,220,168.99216914237658,0,H2026072201,1
2026-01-01 08:15:00,24758.83371549461,44171.04134988,938.9081744309938,1126.7043835242043,2268.879747371645,1.205146522268067,163.66677324636086,1160.6914661441765,0.007555331581503392,3.071367436860942,220,171.57059222713826,1,H2026072201,1
2026-01-01 08:16:00,24879.29156925311,44307.09555520381,938.2481090454229,1127.9660320846383,2268.744685325668,1.200244115718603,174.92745762807212,1159.4091973667237,0.006492827846439266,2.9526761335489407,220,173.0690227561691,2,H2026072201,1
2026-01-01 08:17:00,25051.61175253957,44682.93290410571,938.9695744567732,bad-value,2274.5778802886243,1.199849857771377,173.58396772942075,1162.8745859560406,0.007612582133280874,3.0144222131200022,220,170.34220137561312,2,H2026072201,1
